decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
24,1,1,1,2,17.502641886230663,14.0,28.12779910878305,28.0,14.0
24,1,1,2,3,17.502641886230663,16.0,30.065804244186808,20.0,4.0
24,1,2,1,3,32.39097052100516,21.0,36.43917113961555,14.0,-7.0
24,1,2,2,4,32.39097052100516,23.0,40.30674450587949,19.0,-4.0
24,2,1,1,2,13.024836578031454,3.0,16.33028060407736,-8.0,-11.0
24,2,1,2,3,13.024836578031454,0.0,27.424261416039855,8.0,8.0
24,2,2,1,3,17.44849102568054,5.0,34.975435300457434,6.0,1.0
24,2,2,2,4,17.44849102568054,2.0,28.620488664188997,0.0,-2.0
24,3,1,1,2,7.8129691819143545,-5.0,28.83102028627613,13.0,18.0
24,3,1,2,3,7.8129691819143545,-10.0,34.84326899316531,14.0,24.0
24,3,2,1,3,31.617020410911437,8.0,43.13401635574104,10.0,2.0
24,3,2,2,4,31.617020410911437,-2.0,37.61982059765333,20.0,22.0
24,4,1,1,2,3.5996483412320686,-11.0,15.004740191320309,0.0,11.0
24,4,1,2,3,3.5996483412320686,-20.0,20.733335909927007,6.0,26.0
24,4,2,1,3,13.302079450317194,-10.0,23.18854699181105,0.0,10.0
24,4,2,2,4,13.302079450317194,-12.0,29.16089427601085,-3.0,9.0
24,5,1,1,2,17.502641886230634,9.0,34.91065591727184,9.0,0.0
24,5,1,2,3,17.502641886230634,10.0,33.623225662756795,-9.0,-19.0
24,5,2,1,3,36.58859854441366,8.0,41.190920805349464,-5.0,-13.0
24,5,2,2,4,36.58859854441366,-4.0,41.958667849068235,-4.0,0.0
24,6,1,1,2,14.39620772097743,4.0,25.697972500654345,-6.0,-10.0
24,6,1,2,3,14.39620772097743,15.0,24.756607959027463,-22.0,-37.0
24,6,2,1,3,21.120523918259778,6.0,25.56570412505087,0.0,-6.0
24,6,2,2,4,21.120523918259778,17.0,29.341800284363103,-18.0,-35.0
24,7,1,1,2,6.625235295597008,15.0,24.43588525386977,9.0,-6.0
24,7,1,2,3,6.625235295597008,17.0,28.434759419482504,-13.0,-30.0
24,7,2,1,3,22.619346644284292,17.0,29.92142310516337,7.0,-10.0
24,7,2,2,4,22.619346644284292,7.0,33.31391416762639,-5.0,-12.0
24,8,1,1,2,10.101213719430291,8.0,16.859421783176288,23.0,15.0
24,8,1,2,3,10.101213719430291,6.0,25.227531209341237,27.0,21.0
24,8,2,1,3,17.3540155726825,11.0,29.466753040235716,23.0,12.0
24,8,2,2,4,17.3540155726825,13.0,28.954161846793824,10.0,-3.0
24,9,1,1,2,22.811193059311847,11.0,36.731752406632154,9.0,-2.0
24,9,1,2,3,22.811193059311847,4.0,40.361782752641304,35.0,31.0
24,9,2,1,3,40.09215029074247,19.0,50.850325728800414,20.0,1.0
24,9,2,2,4,40.09215029074247,8.0,50.74782681729481,24.0,16.0
26,0,1,1,2,21.17138544368794,-3.0,37.1342405389459,-5.0,-2.0
26,0,1,2,3,21.17138544368794,-4.0,31.82251014261317,9.0,13.0
26,0,2,1,3,41.974360089215565,-15.0,40.51026082118648,3.0,18.0
26,0,2,2,4,41.974360089215565,-14.0,35.742546639132485,5.0,19.0
26,1,1,1,2,10.647048395250522,-15.0,30.67759412881506,-10.0,5.0
26,1,1,2,3,10.647048395250522,-15.0,26.10156105864641,-6.0,9.0
26,1,2,1,3,35.506111828188466,18.0,34.63843020804498,-16.0,-34.0
26,1,2,2,4,35.506111828188466,18.0,32.13669406935898,-15.0,-33.0
26,2,1,1,2,24.363826067468864,14.0,37.61649011947759,3.0,-11.0
26,2,1,2,3,24.363826067468864,9.0,32.93194420161183,-27.0,-36.0
26,2,2,1,3,38.158856542458494,16.0,36.76544895092155,1.0,-15.0
26,2,2,2,4,38.158856542458494,9.0,42.14489117776466,-14.0,-23.0
26,3,1,1,2,20.149233712784735,12.0,25.91794418228116,-3.0,-15.0
26,3,1,2,3,20.149233712784735,10.0,34.07694515283224,12.0,2.0
26,3,2,1,3,34.087023416887405,52.0,40.00830774068834,19.0,-33.0
26,3,2,2,4,34.087023416887405,57.0,41.44932618571751,40.0,-17.0
26,4,1,1,2,20.149233712784707,4.0,32.57009999367253,10.0,6.0
26,4,1,2,3,20.149233712784707,-15.0,30.132846828772614,-12.0,3.0
26,4,2,1,3,38.852484020233504,12.0,39.002515105688616,-20.0,-32.0
26,4,2,2,4,38.852484020233504,1.0,34.55543656772272,-31.0,-32.0
26,5,1,1,2,8.497025491914258,-35.0,15.59785222654611,-32.0,3.0
26,5,1,2,3,8.497025491914258,-38.0,17.59979207437064,-41.0,-3.0
26,5,2,1,3,22.964595004610942,3.0,21.231454752383257,-37.0,-40.0
26,5,2,2,4,22.964595004610942,0.0,24.253857422706744,-17.0,-17.0
26,6,1,1,2,20.149233712784735,-3.0,26.011697558072967,-2.0,1.0
26,6,1,2,3,20.149233712784735,-15.0,31.16266109557185,-3.0,12.0
26,6,2,1,3,38.621858194978756,-1.0,31.907444706889976,-4.0,-3.0
26,6,2,2,4,38.621858194978756,4.0,36.84995353106268,31.0,27.0
26,7,1,1,2,16.81928996406708,34.0,20.767394790207646,4.0,-30.0
26,7,1,2,3,16.81928996406708,41.0,23.270698229931526,9.0,-32.0
